<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.10.23	4106.190	4114.700	4051.200	4056.200	382537	1398378	0
2019.10.24	4051.420	4066.420	4019.920	4060.920	393057	1447044	0
2019.10.25	4045.900	4054.390	4013.390	4024.890	323865	1232028	0
2019.10.28	4026.290	4030.320	3993.320	4011.320	309809	1110776	0
2019.10.29	4013.240	4024.240	4003.240	4018.740	335141	1245025	0
2019.10.30	4024.290	4051.790	4001.290	4011.790	385515	1606548	0
2019.10.31	3986.840	4056.340	3983.840	4035.840	353634	1606396	0
2019.11.01	4024.450	4028.970	3988.450	4008.950	350491	1397933	0
2019.11.04	3996.870	4037.870	3993.860	4031.370	337022	1226207	0
2019.11.05	4018.930	4041.940	4001.940	4011.940	396360	1475739	0
2019.11.06	4011.410	4105.910	3994.410	4098.410	470788	1713311	0
2019.11.07	4071.590	4121.580	4060.080	4118.580	467910	1723126	0
2019.11.08	4135.280	4188.270	4126.270	4181.770	402927	1555141	0
2019.11.11	4177.410	4188.910	4153.410	4171.410	359864	1286868	0
2019.11.12	4162.860	4204.870	4160.370	4186.370	423257	1538967	0
2019.11.13	4192.450	4207.450	4179.950	4189.450	396558	1483409	0
2019.11.14	4190.440	4216.440	4180.440	4211.940	354932	1393507	0
2019.11.18	4192.450	4237.440	4185.940	4236.940	313605	1245373	0
2019.11.19	4224.050	4235.550	4203.050	4210.550	391854	1493573	0
2019.11.21	4218.530	4239.030	4199.530	4210.030	453595	1729967	0
2019.11.22	4210.000	4216.000	4188.000	4212.500	356070	1337301	0
2019.11.25	4208.500	4246.000	4203.000	4241.500	344996	1393497	0
2019.11.26	4260.650	4290.640	4241.640	4246.140	458731	1720740	0
2019.11.27	4241.090	4284.100	4240.600	4277.100	372906	1494651	0
2019.11.28	4265.670	4274.170	4199.170	4202.670	328241	1121800	0
2019.11.29	4205.400	4240.400	4187.900	4229.900	38221	147645	0
2019.12.04	4201.900	4220.900	4193.400	4218.400	206481	853798	500
2019.12.05	4211.910	4233.410	4186.910	4194.410	391704	1605962	0
2019.12.06	4190.380	4204.390	4144.390	4150.890	373687	1468968	0
2019.12.09	4153.840	4169.840	4133.840	4150.840	349030	1311717	0
2019.12.10	4146.830	4160.330	4141.830	4155.830	267025	1040947	0
2019.12.11	4149.330	4151.830	4117.330	4132.330	381139	1598418	0
2019.12.12	4122.300	4139.300	4092.800	4097.800	422581	1628880	0
2019.12.13	4090.260	4125.250	4081.750	4116.250	411517	1622601	0
2019.12.16	4108.280	4109.780	4061.280	4067.780	328516	1340652	0
2019.12.17	4067.230	4083.720	4056.720	4074.720	321346	1260484	0
2019.12.18	4077.240	4081.740	4051.240	4069.240	314464	1247711	0
2019.12.19	4071.230	4076.730	4057.230	4076.230	269182	1054031	0
2019.12.20	4076.240	4109.740	4064.240	4109.740	288630	1150090	0
2019.12.23	4096.760	4101.760	4063.260	4088.760	249002	1005479	0
2019.12.26	4080.740	4088.750	4051.240	4061.240	228792	844197	0
2019.12.27	4051.710	4065.700	4039.700	4048.700	229661	860722	0
2019.12.30	4040.500	4051.000	4013.500	4025.000	162022	601616	0
2020.01.02	4016.500	4046.000	4008.500	4030.500	275245	1058201	0
2020.01.03	4066.000	4075.500	4037.500	4062.500	295407	1057511	0
2020.01.06	4062.000	4080.500	4053.000	4067.500	296979	1171097	0
2020.01.07	4066.000	4098.500	4061.000	4074.500	352187	1378842	0
2020.01.08	4066.500	4083.500	4045.500	4069.000	385724	1498060	0
2020.01.09	4062.500	4100.000	4062.500	4098.500	345105	1317305	0
2020.01.10	4089.000	4110.000	4067.000	4101.000	335834	1344742	0
2020.01.13	4094.000	4152.000	4093.500	4152.000	384501	1509503	0
2020.01.14	4148.000	4166.000	4126.500	4137.500	376048	1484710	0
2020.01.15	4150.500	4190.000	4143.000	4180.000	426546	1592384	0
2020.01.16	4173.500	4204.500	4164.000	4189.000	376197	1408937	0
2020.01.17	4179.500	4196.500	4163.000	4166.000	355740	1302219	0
2020.01.20	4168.500	4195.000	4167.000	4194.500	185344	656895	0
2020.01.21	4201.500	4221.000	4186.000	4215.500	400516	1497317	0
2020.01.22	4203.000	4208.000	4176.000	4185.000	295574	1149610	0
2020.01.23	4189.500	4193.000	4159.000	4173.000	358553	1427541	0
2020.01.24	4170.000	4194.000	4168.000	4183.500	311588	1241785	0
2020.01.27	4213.500	4233.000	4201.000	4209.000	341598	1320596	0
2020.01.28	4205.000	4217.500	4189.000	4195.000	352362	1347966	0
2020.01.29	4198.500	4234.500	4183.000	4232.000	366403	1460292	0
2020.01.30	4246.000	4273.000	4239.000	4244.500	392824	1680905	0
2020.01.31	4262.000	4273.000	4246.500	4270.000	31515	96798	0
2020.02.03	4276.500	4279.000	4236.500	4253.500	318423	1279996	0
2020.02.04	4239.000	4268.000	4229.500	4261.000	350632	1385719	0
2020.02.05	4252.500	4266.000	4232.500	4241.000	345641	1393414	0
2020.02.06	4223.000	4291.500	4213.500	4288.000	479053	2019939	0
2020.02.07	4300.500	4328.500	4291.500	4327.000	408317	1645707	0
2020.02.10	4316.000	4333.500	4309.000	4330.500	347511	1349615	0
2020.02.11	4317.000	4344.000	4301.500	4334.500	414192	1609426	0
2020.02.12	4323.500	4361.000	4323.500	4359.000	341615	1316893	0
2020.02.13	4380.500	4385.500	4311.500	4353.500	445344	1777958	0
2020.02.14	4326.000	4336.500	4292.500	4300.000	346343	1413800	0
2020.02.17	4309.500	4333.500	4304.500	4329.500	207498	785690	0
2020.02.18	4345.000	4365.500	4339.000	4357.500	312936	1253415	0
2020.02.19	4365.500	4378.000	4360.000	4366.000	259808	1088905	0
2020.02.20	4383.500	4399.500	4359.500	4395.500	366747	1489083	0
2020.02.21	4402.000	4406.500	4373.000	4391.000	331323	1388259	0
2020.02.26	4418.000	4456.000	4405.000	4452.000	288664	1148063	0
2020.02.27	4451.000	4502.000	4448.500	4487.500	507765	2089775	0
2020.02.28	4504.500	4522.500	4473.000	4497.000	312045	1305826	0
2020.03.02	4508.500	4514.500	4477.000	4482.500	429175	1552547	0
2020.03.03	4483.500	4526.000	4460.500	4524.500	524829	1943038	0
2020.03.04	4514.000	4598.000	4511.500	4595.500	447926	1695481	0
2020.03.05	4612.000	4674.500	4595.000	4617.000	545146	1983336	0
2020.03.06	4636.500	4678.500	4617.000	4635.000	509220	1630534	0
2020.03.09	4765.500	4799.000	4713.000	4733.000	740769	1746407	0
2020.03.10	4688.000	4711.000	4642.500	4653.500	543366	1579088	0
2020.03.11	4674.500	4850.500	4661.500	4831.500	584304	1770356	0
2020.03.12	5027.000	5034.000	4755.500	4801.000	762380	1397623	0
2020.03.13	4757.000	4886.000	4648.500	4835.000	794900	1550938	0
2020.03.16	4980.000	5081.000	4885.000	4996.000	862914	1727322	0
2020.03.17	5058.000	5089.000	4960.500	5011.000	938434	1875432	0
2020.03.18	5145.000	5260.000	5057.000	5108.000	1225497	2293468	0
2020.03.19	5199.500	5225.000	5071.000	5097.500	1024615	2004939	0
2020.03.20	5009.500	5069.500	4985.000	5067.500	964046	2029817	0
2020.03.23	5095.000	5150.000	5006.000	5148.500	941861	2038563	0
2020.03.24	5051.000	5108.500	5048.000	5104.000	921817	2189284	0
2020.03.25	5083.500	5110.500	4973.500	5037.000	855784	2265504	0
2020.03.26	5053.500	5066.500	4974.000	5023.500	918086	2281557	0
2020.03.27	5050.000	5128.000	5045.000	5102.500	785013	2130794	0
2020.03.30	5121.000	5198.000	5112.000	5196.500	661376	1770538	0
2020.03.31	5190.000	5223.500	5178.000	5214.000	654247	1846154	0
2020.04.01	5238.500	5283.500	5231.000	5260.500	657770	1873845	0
2020.04.02	5258.000	5294.000	5231.500	5265.500	659842	1840863	0
2020.04.03	5285.000	5365.500	5277.000	5364.000	567552	1590900	0
2020.04.06	5314.500	5319.500	5233.000	5294.500	718242	1968767	0
2020.04.07	5193.000	5259.000	5190.000	5230.500	730234	2063876	0
2020.04.08	5220.500	5255.500	5118.000	5125.000	716394	2071956	0
2020.04.09	5114.500	5159.500	5056.000	5114.000	760824	2068817	0
2020.04.13	5127.500	5214.500	5110.500	5208.000	723736	1952478	0
2020.04.14	5193.000	5218.000	5154.500	5172.000	723224	1933437	0
2020.04.15	5225.000	5274.000	5220.000	5246.500	681547	1859467	0
2020.04.16	5257.000	5273.000	5206.500	5241.500	699680	2034985	0
2020.04.17	5215.000	5280.500	5211.500	5241.000	633016	1811753	0
2020.04.20	5286.000	5323.500	5269.000	5319.000	623068	1744287	0
2020.04.22	5323.500	5468.500	5306.000	5463.500	700003	2284484	0
2020.04.23	5452.000	5560.000	5404.500	5539.000	939381	2652867	0
2020.04.24	5556.000	5751.000	5555.000	5589.000	1212972	3059469	0
2020.04.27	5553.000	5728.500	5536.000	5657.500	997296	2354151	0
2020.04.28	5626.000	5631.000	5472.000	5498.000	1154179	2852915	0
2020.04.29	5468.000	5528.500	5332.500	5334.500	1176908	2783478	0
2020.04.30	5350.000	5441.000	5330.000	5426.500	73462	158034	0
2020.05.04	5612.000	5622.000	5528.500	5554.000	948283	2280571	0
2020.05.05	5535.500	5613.500	5491.000	5588.000	994851	2527610	0
2020.05.06	5603.000	5732.500	5603.000	5727.000	782382	2050988	0
2020.05.07	5786.000	5884.500	5751.000	5846.500	1107551	2799464	0
2020.05.08	5808.500	5836.000	5725.000	5751.500	1112015	2558962	0
2020.05.11	5793.500	5847.500	5771.000	5824.500	950343	2346323	0
2020.05.12	5800.000	5902.000	5749.000	5894.500	1095899	2743149	0
2020.05.13	5832.500	5949.500	5823.500	5889.000	1151888	2826369	0
2020.05.14	5927.500	5977.500	5808.000	5822.500	1275761	3258487	0
2020.05.15	5875.500	5884.500	5765.500	5861.000	1214134	2908033	0
2020.05.18	5790.500	5808.500	5698.500	5725.000	1073868	2636431	0
2020.05.19	5697.000	5771.500	5686.000	5762.000	1108348	2845463	0
2020.05.20	5725.000	5756.000	5672.500	5695.500	1014348	2814942	0
2020.05.21	5700.000	5708.500	5549.500	5557.500	1105719	3215288	0
2020.05.22	5579.000	5627.500	5524.500	5535.000	1185157	3263560	0
2020.05.25	5508.500	5531.500	5434.500	5445.000	880061	2095293	0
2020.05.26	5375.500	5403.000	5335.500	5355.000	1098688	2948899	0
2020.05.27	5343.000	5361.000	5270.000	5274.500	1158020	3217280	0
