<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.03.10	63005	63697	60962	63132	300036	714303	0
2016.03.11	63402	63730	62435	63000	238404	592027	0
2016.03.14	63234	64153	61333	61443	262525	610423	0
2016.03.15	60256	60929	59239	59924	269187	626991	0
2016.03.16	59872	61068	58928	60998	261783	620055	0
2016.03.17	63566	65164	62774	65164	296354	683066	0
2016.03.18	64950	65353	63603	64168	203132	457091	0
2016.03.21	64448	65111	64301	64771	169298	388020	0
2016.03.22	64096	64911	64001	64911	169636	374043	0
2016.03.23	64542	64542	62474	62474	184922	438749	0
2016.03.24	61773	62998	61668	62968	151968	351325	0
2016.03.28	63479	64721	63476	64561	155615	366593	0
2016.03.29	64586	65560	63735	64790	215676	483843	0
2016.03.30	65399	66100	64350	64625	227874	556436	0
2016.03.31	64322	64372	62680	63340	197128	479260	0
2016.04.01	62868	64022	62217	63752	199740	482945	0
2016.04.04	63491	63544	61139	61139	178037	438774	0
2016.04.05	60740	62605	60575	61520	224512	577476	0
2016.04.06	61552	61783	60398	60898	196005	479325	0
2016.04.07	60463	61689	60457	61139	197777	492207	0
2016.04.08	62648	63676	62471	63581	166220	374840	0
2016.04.11	63693	64383	63143	63158	177505	422609	0
2016.04.12	64008	65972	63702	65787	222375	529482	0
2016.04.13	66702	67797	66207	66207	216208	491979	0
2016.04.14	66405	67616	65711	66306	244724	585689	0
2016.04.15	67012	67239	66244	66919	198057	483479	0
2016.04.18	67758	67904	65739	66364	191665	441808	0
2016.04.19	67177	67934	66664	67439	177657	399646	0
2016.04.20	67074	67668	66748	67333	153884	351618	0
2016.04.22	66579	66926	65771	66516	155213	352823	0
2016.04.25	66424	66493	64922	65052	148757	343471	0
2016.04.26	65467	66937	65122	66937	182165	419065	0
2016.04.27	66622	68639	66591	68639	179337	424507	0
2016.04.28	68000	68999	67804	68529	181281	423538	0
2016.04.29	68352	68620	67190	67450	201595	475545	0
2016.05.02	67690	67940	66795	67000	173378	397393	0
2016.05.03	66295	66344	65381	65581	159912	376796	0
2016.05.04	64998	65950	64715	65840	178076	436977	0
2016.05.05	66141	66438	64293	64908	213955	517140	0
2016.05.06	64726	65302	63932	64712	202185	454252	0
2016.05.09	64832	64938	61968	63838	236527	556920	0
2016.05.10	64330	66859	64318	66859	190648	457467	0
2016.05.11	66702	67601	65746	65746	252604	593091	0
2016.05.12	66480	67274	65434	66359	272886	663815	0
2016.05.13	65887	66527	64107	64212	243871	594982	0
2016.05.16	64597	65244	63929	64579	192509	444084	0
2016.05.17	64931	65249	63189	63509	211774	504785	0
2016.05.18	63120	64006	62561	62926	241423	567447	0
2016.05.19	62626	62637	61702	62372	220891	528718	0
2016.05.20	62749	63299	61844	61999	191890	464957	0
2016.05.23	60922	61693	60463	60978	205249	489925	0
2016.05.24	61415	62196	61126	61511	182642	431065	0
2016.05.25	61885	62616	61331	61586	204546	482778	0
2016.05.27	61761	61943	60753	61153	156059	386582	0
2016.05.30	61249	61294	60599	60719	94623	236470	0
2016.05.31	60817	61166	60001	60131	209727	517701	0
2016.06.01	59908	60821	59571	60566	184776	480220	0
2016.06.02	60582	61958	60453	61883	192345	478662	0
2016.06.03	61761	62794	61761	62599	196854	488086	0
2016.06.06	63028	63231	62121	62351	205622	527046	0
2016.06.07	62415	62685	61685	62645	210875	553921	0
2016.06.08	62817	64152	62717	63832	221121	575722	0
2016.06.09	63435	63757	62847	63207	202152	521283	0
2016.06.10	62454	62540	60895	60895	191713	512040	0
2016.06.13	60526	61510	60245	61345	221683	575943	0
2016.06.14	60773	61592	59532	59872	250613	656925	0
2016.06.15	60233	60968	59388	60133	230020	586540	0
2016.06.16	59749	60953	59283	60953	231100	591843	0
2016.06.17	61079	61930	60915	61130	198989	527503	0
